t,v_pre,v_post,i,i_fast,i_slow
201,-0.470535,-1.35465,-0.692343,-0.00357079,-0.688772
201.6,-0.452523,-1.35366,-0.69269,-0.00376744,-0.688923
202.2,-0.46252,-1.35268,-0.692747,-0.00365665,-0.689091
202.8,-0.473534,-1.3517,-0.692779,-0.00353837,-0.689241
203.4,-0.443016,-1.35068,-0.69327,-0.00387494,-0.689395
204,-0.43351,-1.34966,-0.693577,-0.00398596,-0.689591
204.6,-0.439509,-1.34867,-0.693631,-0.00391515,-0.689716
205.2,-0.447524,-1.34765,-0.693687,-0.00382256,-0.689865
205.8,-0.446016,-1.34662,-0.693865,-0.00383953,-0.690026
206.4,-0.446016,-1.34557,-0.694043,-0.00383928,-0.690204
207,-0.414498,-1.34451,-0.694598,-0.00421676,-0.690382
207.6,-0.468027,-1.34348,-0.694135,-0.00359512,-0.69054
208.2,-0.431511,-1.34241,-0.694715,-0.00400799,-0.690707
208.8,-0.441017,-1.34135,-0.694748,-0.00389587,-0.690852
209.4,-0.445016,-1.34028,-0.694847,-0.00384948,-0.690998
210,-0.462029,-1.3392,-0.694794,-0.003659,-0.691135
210.6,-0.448523,-1.33813,-0.695049,-0.00380898,-0.69124
211.2,-0.449015,-1.33704,-0.695166,-0.00380315,-0.691363
211.8,-0.416006,-1.33591,-0.695702,-0.00419568,-0.691507
212.4,-0.447016,-1.33481,-0.695496,-0.00382534,-0.69167
213,-0.438018,-1.33369,-0.695729,-0.00392898,-0.6918
213.6,-0.504544,-1.33261,-0.695118,-0.00322216,-0.691896
214.2,-0.462029,-1.33146,-0.695664,-0.00365727,-0.692006
214.8,-0.48604,-1.33034,-0.695501,-0.00340446,-0.692097
215.4,-0.447524,-1.32918,-0.696031,-0.00381825,-0.692212
216,-0.484024,-1.32806,-0.695728,-0.0034245,-0.692304
216.6,-0.491531,-1.32691,-0.695736,-0.00334848,-0.692388
217.2,-0.475026,-1.32575,-0.69598,-0.0035171,-0.692463
217.8,-0.46452,-1.32457,-0.696188,-0.00362869,-0.69256
218.4,-0.462029,-1.32339,-0.696313,-0.00365547,-0.692657
219,-0.43651,-1.32218,-0.696716,-0.00394389,-0.692772
219.6,-0.454522,-1.32099,-0.696623,-0.0037376,-0.692885
220.2,-0.442508,-1.31977,-0.69688,-0.00387348,-0.693007
220.8,-0.425004,-1.31854,-0.697216,-0.00408044,-0.693136
221.4,-0.438018,-1.3173,-0.697194,-0.00392505,-0.693269
222,-0.439509,-1.31606,-0.697309,-0.00390735,-0.693402
222.6,-0.453014,-1.31481,-0.697278,-0.003753,-0.693525
223.2,-0.401009,-1.31352,-0.698033,-0.00438118,-0.693652
223.8,-0.416514,-1.31223,-0.698008,-0.00418327,-0.693825
224.4,-0.436018,-1.31097,-0.697873,-0.00394696,-0.693926
225,-0.448523,-1.30966,-0.697852,-0.00380234,-0.69405
225.6,-0.43651,-1.30835,-0.698109,-0.00394055,-0.694169
226.2,-0.43351,-1.30702,-0.698277,-0.00397558,-0.694301
226.8,-0.407008,-1.30566,-0.698753,-0.00430159,-0.694452
227.4,-0.426004,-1.30433,-0.698625,-0.00406477,-0.69456
228,-0.425512,-1.30296,-0.69876,-0.00407039,-0.69469
228.6,-0.427512,-1.30158,-0.698865,-0.00404588,-0.694819
229.2,-0.426512,-1.30019,-0.698998,-0.0040576,-0.694941
229.8,-0.446016,-1.29881,-0.69887,-0.00382831,-0.695042
230.4,-0.450523,-1.29741,-0.698896,-0.00377693,-0.695119
231,-0.461029,-1.296,-0.698857,-0.00366023,-0.695196
231.6,-0.459521,-1.29457,-0.698938,-0.00367638,-0.695262
232.2,-0.443016,-1.29311,-0.699224,-0.00386132,-0.695363
232.8,-0.437018,-1.29165,-0.699373,-0.00393057,-0.695443
233.4,-0.46552,-1.2902,-0.699131,-0.00361029,-0.69552
234,-0.468027,-1.28872,-0.699149,-0.00358309,-0.695566
234.6,-0.447016,-1.2872,-0.699459,-0.00381421,-0.695645
235.2,-0.441017,-1.28569,-0.699608,-0.00388261,-0.695725
235.8,-0.446016,-1.28415,-0.699641,-0.00382487,-0.695816
236.4,-0.442508,-1.2826,-0.69978,-0.00386467,-0.695915
237,-0.454014,-1.28106,-0.699711,-0.00373411,-0.695977
237.6,-0.446524,-1.27947,-0.699867,-0.00381799,-0.696049
238.2,-0.420005,-1.27786,-0.700257,-0.00413131,-0.696126
238.8,-0.438509,-1.27626,-0.700108,-0.00390946,-0.696198
239.4,-0.4075,-1.2746,-0.700582,-0.00428713,-0.696295
