t,v_pre,v_post,i,i_fast,i_slow
13.488,-0.478533,-1.39705,-0.622185,-9.04125e-05,-0.622094
13.536,-0.497529,-1.39625,-0.622428,-8.39175e-05,-0.622344
13.584,-0.504544,-1.39544,-0.622628,-8.16357e-05,-0.622546
13.632,-0.516542,-1.39464,-0.622725,-7.78793e-05,-0.622647
13.68,-0.499545,-1.39385,-0.622789,-8.32417e-05,-0.622706
13.728,-0.520541,-1.39305,-0.622785,-7.66583e-05,-0.622708
13.776,-0.510051,-1.39225,-0.622859,-7.98724e-05,-0.622779
13.824,-0.507035,-1.39145,-0.622989,-8.08177e-05,-0.622908
13.872,-0.549551,-1.39065,-0.623005,-6.84028e-05,-0.622937
13.92,-0.54306,-1.38986,-0.622967,-7.0162e-05,-0.622897
13.968,-0.499545,-1.38905,-0.623098,-8.32116e-05,-0.623015
14.016,-0.553058,-1.38825,-0.623176,-6.74562e-05,-0.623109
14.064,-0.503544,-1.38744,-0.623331,-8.19068e-05,-0.623249
14.112,-0.499037,-1.38663,-0.623341,-8.33623e-05,-0.623258
14.16,-0.514542,-1.38583,-0.623309,-7.84401e-05,-0.62323
14.208,-0.489039,-1.38502,-0.623509,-8.66848e-05,-0.623423
14.256,-0.489039,-1.38419,-0.623709,-8.66794e-05,-0.623622
14.304,-0.533046,-1.38337,-0.623787,-7.29364e-05,-0.623714
14.352,-0.507035,-1.38255,-0.623866,-8.07634e-05,-0.623785
14.4,-0.501037,-1.38173,-0.623951,-8.26806e-05,-0.623868
14.448,-0.482532,-1.3809,-0.624165,-8.88974e-05,-0.624076
14.496,-0.493038,-1.38006,-0.624326,-8.53041e-05,-0.624241
14.544,-0.472535,-1.37922,-0.624541,-9.244e-05,-0.624448
14.592,-0.500037,-1.37836,-0.624732,-8.29843e-05,-0.624649
14.64,-0.482532,-1.37751,-0.624863,-8.88747e-05,-0.624775
14.688,-0.470027,-1.37665,-0.625079,-9.33354e-05,-0.624986
14.736,-0.496038,-1.37579,-0.625265,-8.42795e-05,-0.625181
14.784,-0.474534,-1.37491,-0.625533,-9.16882e-05,-0.625442
14.832,-0.467028,-1.37403,-0.625796,-9.44208e-05,-0.625702
14.88,-0.45503,-1.37314,-0.626092,-9.89622e-05,-0.625993
14.928,-0.472535,-1.37223,-0.626396,-9.23912e-05,-0.626303
14.976,-0.477534,-1.37132,-0.626722,-9.05916e-05,-0.626631
15.024,-0.46452,-1.3704,-0.627003,-9.53277e-05,-0.626908
15.072,-0.468027,-1.36947,-0.627194,-9.40191e-05,-0.6271
15.12,-0.512051,-1.36855,-0.627318,-7.91069e-05,-0.627239
15.168,-0.472535,-1.36761,-0.627569,-9.2359e-05,-0.627477
15.216,-0.498529,-1.36667,-0.62774,-8.34028e-05,-0.627657
15.264,-0.475026,-1.36574,-0.627759,-9.14482e-05,-0.627668
15.312,-0.461521,-1.36481,-0.627823,-9.64148e-05,-0.627727
15.36,-0.495038,-1.36388,-0.627809,-8.45345e-05,-0.627724
15.408,-0.46652,-1.36293,-0.627993,-9.45298e-05,-0.627899
15.456,-0.482532,-1.36197,-0.628201,-8.87704e-05,-0.628112
15.504,-0.500545,-1.36102,-0.628162,-8.27107e-05,-0.628079
15.552,-0.510543,-1.36007,-0.628198,-7.95251e-05,-0.628119
15.6,-0.474534,-1.35912,-0.628307,-9.15788e-05,-0.628215
15.648,-0.49253,-1.35815,-0.628443,-8.53329e-05,-0.628358
15.696,-0.503544,-1.35719,-0.628413,-8.17199e-05,-0.628331
15.744,-0.503036,-1.35623,-0.628386,-8.1877e-05,-0.628305
15.792,-0.494038,-1.35527,-0.628416,-8.48113e-05,-0.628332
15.84,-0.504036,-1.3543,-0.628529,-8.15447e-05,-0.628448
15.888,-0.514542,-1.35333,-0.628562,-7.82477e-05,-0.628484
15.936,-0.485532,-1.35235,-0.628629,-8.76686e-05,-0.628541
15.984,-0.462029,-1.35137,-0.628767,-9.61251e-05,-0.628671
16.032,-0.471535,-1.35037,-0.628961,-9.2601e-05,-0.628869
16.08,-0.470535,-1.34937,-0.629116,-9.29577e-05,-0.629023
16.128,-0.452523,-1.34835,-0.629395,-9.9753e-05,-0.629296
16.176,-0.46252,-1.34732,-0.629719,-9.59106e-05,-0.629623
16.224,-0.473534,-1.34628,-0.62998,-9.18493e-05,-0.629888
16.272,-0.443016,-1.34523,-0.630273,-0.000103517,-0.63017
16.32,-0.43351,-1.34415,-0.630691,-0.00010744,-0.630584
16.368,-0.439509,-1.34309,-0.63087,-0.000104933,-0.630765
16.416,-0.447524,-1.342,-0.63113,-0.000101679,-0.631028
16.464,-0.446016,-1.34091,-0.631433,-0.000102273,-0.63133
16.512,-0.446016,-1.33979,-0.631788,-0.000102265,-0.631685
16.56,-0.414498,-1.33866,-0.632153,-0.000115707,-0.632037
16.608,-0.468027,-1.33753,-0.632419,-9.37922e-05,-0.632325
16.656,-0.431511,-1.33638,-0.63275,-0.000108222,-0.632642
16.704,-0.441017,-1.33522,-0.632989,-0.000104253,-0.632885
16.752,-0.445016,-1.33405,-0.633236,-0.000102622,-0.633133
16.8,-0.462029,-1.33287,-0.633453,-9.59907e-05,-0.633357
16.848,-0.448523,-1.33169,-0.633574,-0.000101202,-0.633473
16.896,-0.449015,-1.3305,-0.633751,-0.000100998,-0.63365
16.944,-0.416006,-1.32929,-0.634013,-0.000114943,-0.633898
16.992,-0.447016,-1.32806,-0.634308,-0.000101774,-0.634207
17.04,-0.438018,-1.32683,-0.63451,-0.000105419,-0.634405
17.088,-0.504544,-1.3256,-0.634577,-8.12058e-05,-0.634496
17.136,-0.462029,-1.32435,-0.634733,-9.59288e-05,-0.634637
17.184,-0.48604,-1.3231,-0.634802,-8.73007e-05,-0.634715
17.232,-0.447524,-1.32184,-0.634977,-0.000101524,-0.634876
17.28,-0.484024,-1.32057,-0.635046,-8.79767e-05,-0.634958
17.328,-0.491531,-1.3193,-0.635105,-8.54165e-05,-0.63502
17.376,-0.475026,-1.31802,-0.635147,-9.11185e-05,-0.635056
17.424,-0.46452,-1.31672,-0.635259,-9.49413e-05,-0.635164
17.472,-0.462029,-1.31542,-0.635368,-9.58638e-05,-0.635272
17.52,-0.43651,-1.3141,-0.635544,-0.000105942,-0.635438
17.568,-0.454522,-1.31277,-0.635698,-9.87076e-05,-0.635599
17.616,-0.442508,-1.31142,-0.635893,-0.000103458,-0.63579
17.664,-0.425004,-1.31006,-0.636112,-0.000110797,-0.636001
17.712,-0.438018,-1.30869,-0.636335,-0.000105274,-0.63623
17.76,-0.439509,-1.3073,-0.63656,-0.000104649,-0.636455
17.808,-0.453014,-1.30589,-0.636749,-9.92412e-05,-0.63665
17.856,-0.401009,-1.30448,-0.636977,-0.000121676,-0.636856
17.904,-0.416514,-1.30303,-0.637328,-0.000114486,-0.637214
17.952,-0.436018,-1.30158,-0.637443,-0.000106046,-0.637337
18,-0.448523,-1.30011,-0.637641,-0.00010096,-0.63754
